energy_source,date,production_mwh
1.1 Hydro power generation,1993M01,11673067
1.4 Thermal power generation,1993M01,45109
1.1 Hydro power generation,1993M02,10636402
1.4 Thermal power generation,1993M02,39467
1.1 Hydro power generation,1993M03,11377918
1.4 Thermal power generation,1993M03,28193
1.1 Hydro power generation,1993M04,9426997
1.4 Thermal power generation,1993M04,37340
1.1 Hydro power generation,1993M05,8292378
1.4 Thermal power generation,1993M05,47301
1.1 Hydro power generation,1993M06,8112115
1.4 Thermal power generation,1993M06,48841
1.1 Hydro power generation,1993M07,7394606
1.4 Thermal power generation,1993M07,23897
1.1 Hydro power generation,1993M08,8067914
1.4 Thermal power generation,1993M08,54316
1.1 Hydro power generation,1993M09,9308581
1.4 Thermal power generation,1993M09,40949
1.1 Hydro power generation,1993M10,10674093
1.4 Thermal power generation,1993M10,44592
1.1 Hydro power generation,1993M11,11913778
1.4 Thermal power generation,1993M11,40516
1.1 Hydro power generation,1993M12,12635875
1.4 Thermal power generation,1993M12,36418
1.1 Hydro power generation,1994M01,12358991
1.4 Thermal power generation,1994M01,42762
1.1 Hydro power generation,1994M02,11369816
1.4 Thermal power generation,1994M02,43829
1.1 Hydro power generation,1994M03,10131814
1.4 Thermal power generation,1994M03,45284
1.1 Hydro power generation,1994M04,8258317
1.4 Thermal power generation,1994M04,46496
1.1 Hydro power generation,1994M05,8145214
1.4 Thermal power generation,1994M05,61606
1.1 Hydro power generation,1994M06,8267441
1.4 Thermal power generation,1994M06,66678
1.1 Hydro power generation,1994M07,7104508
1.4 Thermal power generation,1994M07,58316
1.1 Hydro power generation,1994M08,7743224
1.4 Thermal power generation,1994M08,47341
1.1 Hydro power generation,1994M09,8489197
1.4 Thermal power generation,1994M09,48271
1.1 Hydro power generation,1994M10,9835215
1.4 Thermal power generation,1994M10,69629
1.1 Hydro power generation,1994M11,10145951
1.4 Thermal power generation,1994M11,68937
1.1 Hydro power generation,1994M12,10957075
1.4 Thermal power generation,1994M12,76360
1.1 Hydro power generation,1995M01,12166565
1.4 Thermal power generation,1995M01,67424
1.1 Hydro power generation,1995M02,10824208
1.4 Thermal power generation,1995M02,65175
1.1 Hydro power generation,1995M03,11447300
1.4 Thermal power generation,1995M03,71161
1.1 Hydro power generation,1995M04,9934022
1.4 Thermal power generation,1995M04,64697
1.1 Hydro power generation,1995M05,8799962
1.4 Thermal power generation,1995M05,62957
1.1 Hydro power generation,1995M06,8027187
1.4 Thermal power generation,1995M06,74253
1.1 Hydro power generation,1995M07,7951091
1.4 Thermal power generation,1995M07,58147
1.1 Hydro power generation,1995M08,8460534
1.4 Thermal power generation,1995M08,52851
1.1 Hydro power generation,1995M09,8750360
1.4 Thermal power generation,1995M09,44473
1.1 Hydro power generation,1995M10,10270142
1.4 Thermal power generation,1995M10,43683
1.1 Hydro power generation,1995M11,12325277
1.4 Thermal power generation,1995M11,40819
1.1 Hydro power generation,1995M12,13527284
1.4 Thermal power generation,1995M12,55608
1.1 Hydro power generation,1996M01,13572312
1.4 Thermal power generation,1996M01,74138
1.1 Hydro power generation,1996M02,12402827
1.4 Thermal power generation,1996M02,74183
1.1 Hydro power generation,1996M03,11104426
1.4 Thermal power generation,1996M03,64119
1.1 Hydro power generation,1996M04,8353576
1.4 Thermal power generation,1996M04,76158
1.1 Hydro power generation,1996M05,8370847
1.4 Thermal power generation,1996M05,74559
1.1 Hydro power generation,1996M06,6261011
1.4 Thermal power generation,1996M06,52321
1.1 Hydro power generation,1996M07,5563904
1.4 Thermal power generation,1996M07,69139
1.1 Hydro power generation,1996M08,5926422
1.4 Thermal power generation,1996M08,61615
1.1 Hydro power generation,1996M09,6101372
1.4 Thermal power generation,1996M09,69406
1.1 Hydro power generation,1996M10,7110925
1.4 Thermal power generation,1996M10,73357
1.1 Hydro power generation,1996M11,9062277
1.4 Thermal power generation,1996M11,73488
1.1 Hydro power generation,1996M12,10085537
1.4 Thermal power generation,1996M12,70996
1.1 Hydro power generation,1997M01,9846254
1.4 Thermal power generation,1997M01,69253
1.1 Hydro power generation,1997M02,8460885
1.4 Thermal power generation,1997M02,62687
1.1 Hydro power generation,1997M03,9526318
1.4 Thermal power generation,1997M03,64943
1.1 Hydro power generation,1997M04,9247383
1.4 Thermal power generation,1997M04,67933
1.1 Hydro power generation,1997M05,8267072
1.4 Thermal power generation,1997M05,67986
1.1 Hydro power generation,1997M06,7628962
1.4 Thermal power generation,1997M06,43371
1.1 Hydro power generation,1997M07,7356612
1.4 Thermal power generation,1997M07,47234
1.1 Hydro power generation,1997M08,7786485
1.4 Thermal power generation,1997M08,50664
1.1 Hydro power generation,1997M09,9275641
1.4 Thermal power generation,1997M09,45561
1.1 Hydro power generation,1997M10,10809934
1.4 Thermal power generation,1997M10,53082
1.1 Hydro power generation,1997M11,10988098
1.4 Thermal power generation,1997M11,58640
1.1 Hydro power generation,1997M12,11727982
1.4 Thermal power generation,1997M12,75965
1.1 Hydro power generation,1998M01,11578402
1.4 Thermal power generation,1998M01,76532
1.1 Hydro power generation,1998M02,10033614
1.4 Thermal power generation,1998M02,64520
1.1 Hydro power generation,1998M03,11197273
1.4 Thermal power generation,1998M03,70396
1.1 Hydro power generation,1998M04,9446834
1.4 Thermal power generation,1998M04,64279
1.1 Hydro power generation,1998M05,7850461
1.4 Thermal power generation,1998M05,62305
1.1 Hydro power generation,1998M06,7674283
1.4 Thermal power generation,1998M06,68502
1.1 Hydro power generation,1998M07,7301425
1.4 Thermal power generation,1998M07,44746
1.1 Hydro power generation,1998M08,9004306
1.4 Thermal power generation,1998M08,37422
1.1 Hydro power generation,1998M09,9055841
1.4 Thermal power generation,1998M09,28943
1.1 Hydro power generation,1998M10,10561529
1.4 Thermal power generation,1998M10,54094
1.1 Hydro power generation,1998M11,11174763
1.4 Thermal power generation,1998M11,68861
1.1 Hydro power generation,1998M12,11380161
1.4 Thermal power generation,1998M12,76833
1.1 Hydro power generation,1999M01,11808954
1.2 Wind power generation,1999M01,1157
1.4 Thermal power generation,1999M01,71651
1.1 Hydro power generation,1999M02,10852908
1.2 Wind power generation,1999M02,924
1.4 Thermal power generation,1999M02,55073
1.1 Hydro power generation,1999M03,10894268
1.2 Wind power generation,1999M03,1398
1.4 Thermal power generation,1999M03,78142
1.1 Hydro power generation,1999M04,9216899
1.2 Wind power generation,1999M04,1820
1.4 Thermal power generation,1999M04,67236
1.1 Hydro power generation,1999M05,8747880
1.2 Wind power generation,1999M05,1140
1.4 Thermal power generation,1999M05,73509
1.1 Hydro power generation,1999M06,8624444
1.2 Wind power generation,1999M06,956
1.4 Thermal power generation,1999M06,53196
1.1 Hydro power generation,1999M07,9225922
1.2 Wind power generation,1999M07,988
1.4 Thermal power generation,1999M07,66574
1.1 Hydro power generation,1999M08,9642892
1.2 Wind power generation,1999M08,852
1.4 Thermal power generation,1999M08,67165
1.1 Hydro power generation,1999M09,8819318
1.2 Wind power generation,1999M09,1224
1.4 Thermal power generation,1999M09,68082
1.1 Hydro power generation,1999M10,9671022
1.2 Wind power generation,1999M10,1034
1.4 Thermal power generation,1999M10,64771
1.1 Hydro power generation,1999M11,11243421
1.2 Wind power generation,1999M11,1618
1.4 Thermal power generation,1999M11,73808
1.1 Hydro power generation,1999M12,13084195
1.2 Wind power generation,1999M12,1165
1.4 Thermal power generation,1999M12,74803
1.1 Hydro power generation,2000M01,13231494
1.2 Wind power generation,2000M01,4044
1.4 Thermal power generation,2000M01,75629
1.1 Hydro power generation,2000M02,12464006
1.2 Wind power generation,2000M02,3113
1.4 Thermal power generation,2000M02,68706
1.1 Hydro power generation,2000M03,13868963
1.2 Wind power generation,2000M03,3079
1.4 Thermal power generation,2000M03,69327
1.1 Hydro power generation,2000M04,11544663
1.2 Wind power generation,2000M04,2031
1.4 Thermal power generation,2000M04,78853
1.1 Hydro power generation,2000M05,11249789
1.2 Wind power generation,2000M05,1914
1.4 Thermal power generation,2000M05,59090
1.1 Hydro power generation,2000M06,10746111
1.2 Wind power generation,2000M06,2358
1.4 Thermal power generation,2000M06,45478
1.1 Hydro power generation,2000M07,10050387
1.2 Wind power generation,2000M07,1824
1.4 Thermal power generation,2000M07,46973
1.1 Hydro power generation,2000M08,10723543
1.2 Wind power generation,2000M08,1696
1.4 Thermal power generation,2000M08,60001
1.1 Hydro power generation,2000M09,11108317
1.2 Wind power generation,2000M09,2416
1.4 Thermal power generation,2000M09,58231
1.1 Hydro power generation,2000M10,11799317
1.2 Wind power generation,2000M10,2753
1.4 Thermal power generation,2000M10,46846
1.1 Hydro power generation,2000M11,12055970
1.2 Wind power generation,2000M11,2981
1.4 Thermal power generation,2000M11,47963
1.1 Hydro power generation,2000M12,13379999
1.2 Wind power generation,2000M12,1990
1.4 Thermal power generation,2000M12,74037
1.1 Hydro power generation,2001M01,13953339
1.2 Wind power generation,2001M01,2751
1.4 Thermal power generation,2001M01,74080
1.1 Hydro power generation,2001M02,12438032
1.2 Wind power generation,2001M02,2560
1.4 Thermal power generation,2001M02,75210
1.1 Hydro power generation,2001M03,11862929
1.2 Wind power generation,2001M03,1518
1.4 Thermal power generation,2001M03,77043
1.1 Hydro power generation,2001M04,9225859
1.2 Wind power generation,2001M04,1807
1.4 Thermal power generation,2001M04,76778
1.1 Hydro power generation,2001M05,7855812
1.2 Wind power generation,2001M05,1858
1.4 Thermal power generation,2001M05,76178
1.1 Hydro power generation,2001M06,7550779
1.2 Wind power generation,2001M06,2058
1.4 Thermal power generation,2001M06,68338
1.1 Hydro power generation,2001M07,6824626
1.2 Wind power generation,2001M07,2141
1.4 Thermal power generation,2001M07,84957
1.1 Hydro power generation,2001M08,7814380
1.2 Wind power generation,2001M08,1730
1.4 Thermal power generation,2001M08,73714
1.1 Hydro power generation,2001M09,7634781
1.2 Wind power generation,2001M09,1457
1.4 Thermal power generation,2001M09,65780
1.1 Hydro power generation,2001M10,9870696
1.2 Wind power generation,2001M10,2600
1.4 Thermal power generation,2001M10,77682
1.1 Hydro power generation,2001M11,12357322
1.2 Wind power generation,2001M11,5217
1.4 Thermal power generation,2001M11,83102
1.1 Hydro power generation,2001M12,13592813
1.2 Wind power generation,2001M12,3061
1.4 Thermal power generation,2001M12,77237
1.1 Hydro power generation,2002M01,13429626
1.2 Wind power generation,2002M01,4420
1.4 Thermal power generation,2002M01,81386
1.1 Hydro power generation,2002M02,11417989
1.2 Wind power generation,2002M02,3936
1.4 Thermal power generation,2002M02,72963
1.1 Hydro power generation,2002M03,11743476
1.2 Wind power generation,2002M03,4137
1.4 Thermal power generation,2002M03,77740
1.1 Hydro power generation,2002M04,9653841
1.2 Wind power generation,2002M04,3146
1.4 Thermal power generation,2002M04,78006
1.1 Hydro power generation,2002M05,9520386
1.2 Wind power generation,2002M05,2864
1.4 Thermal power generation,2002M05,64535
1.1 Hydro power generation,2002M06,9787842
1.2 Wind power generation,2002M06,2678
1.4 Thermal power generation,2002M06,68211
1.1 Hydro power generation,2002M07,9513106
1.2 Wind power generation,2002M07,2561
1.4 Thermal power generation,2002M07,55660
1.1 Hydro power generation,2002M08,9708274
1.2 Wind power generation,2002M08,2306
1.4 Thermal power generation,2002M08,54315
1.1 Hydro power generation,2002M09,9444404
1.2 Wind power generation,2002M09,2955
1.4 Thermal power generation,2002M09,57848
1.1 Hydro power generation,2002M10,11743738
1.2 Wind power generation,2002M10,3270
1.4 Thermal power generation,2002M10,61271
1.1 Hydro power generation,2002M11,11904197
1.2 Wind power generation,2002M11,2591
1.4 Thermal power generation,2002M11,81186
1.1 Hydro power generation,2002M12,11861532
1.2 Wind power generation,2002M12,4039
1.4 Thermal power generation,2002M12,80372
1.1 Hydro power generation,2003M01,10913220
1.2 Wind power generation,2003M01,21089
1.4 Thermal power generation,2003M01,69990
1.1 Hydro power generation,2003M02,9724705
1.2 Wind power generation,2003M02,17802
1.4 Thermal power generation,2003M02,78206
1.1 Hydro power generation,2003M03,8831255
1.2 Wind power generation,2003M03,26389
1.4 Thermal power generation,2003M03,83310
1.1 Hydro power generation,2003M04,7349242
1.2 Wind power generation,2003M04,20808
1.4 Thermal power generation,2003M04,81133
1.1 Hydro power generation,2003M05,7207886
1.2 Wind power generation,2003M05,13423
1.4 Thermal power generation,2003M05,68814
1.1 Hydro power generation,2003M06,7860257
1.2 Wind power generation,2003M06,10527
1.4 Thermal power generation,2003M06,81737
1.1 Hydro power generation,2003M07,7016462
1.2 Wind power generation,2003M07,10067
1.4 Thermal power generation,2003M07,87527
1.1 Hydro power generation,2003M08,7717030
1.2 Wind power generation,2003M08,11697
1.4 Thermal power generation,2003M08,63565
1.1 Hydro power generation,2003M09,8443872
1.2 Wind power generation,2003M09,19681
1.4 Thermal power generation,2003M09,80724
1.1 Hydro power generation,2003M10,10738995
1.2 Wind power generation,2003M10,21821
1.4 Thermal power generation,2003M10,91061
1.1 Hydro power generation,2003M11,9871065
1.2 Wind power generation,2003M11,17420
1.4 Thermal power generation,2003M11,83338
1.1 Hydro power generation,2003M12,10426777
1.2 Wind power generation,2003M12,29072
1.4 Thermal power generation,2003M12,83476
1.1 Hydro power generation,2004M01,12237794
1.2 Wind power generation,2004M01,18298
1.4 Thermal power generation,2004M01,97878
1.1 Hydro power generation,2004M02,10629659
1.2 Wind power generation,2004M02,22566
1.4 Thermal power generation,2004M02,92838
1.1 Hydro power generation,2004M03,10467571
1.2 Wind power generation,2004M03,20974
1.4 Thermal power generation,2004M03,99656
1.1 Hydro power generation,2004M04,7798307
1.2 Wind power generation,2004M04,14090
1.4 Thermal power generation,2004M04,101725
1.1 Hydro power generation,2004M05,7589671
1.2 Wind power generation,2004M05,14782
1.4 Thermal power generation,2004M05,101754
1.1 Hydro power generation,2004M06,7669888
1.2 Wind power generation,2004M06,14885
1.4 Thermal power generation,2004M06,82768
1.1 Hydro power generation,2004M07,6192211
1.2 Wind power generation,2004M07,10899
1.4 Thermal power generation,2004M07,100302
1.1 Hydro power generation,2004M08,7535347
1.2 Wind power generation,2004M08,11073
1.4 Thermal power generation,2004M08,83866
1.1 Hydro power generation,2004M09,7948741
1.2 Wind power generation,2004M09,23315
1.4 Thermal power generation,2004M09,57100
1.1 Hydro power generation,2004M10,9162655
1.2 Wind power generation,2004M10,18079
1.4 Thermal power generation,2004M10,74204
1.1 Hydro power generation,2004M11,10613484
1.2 Wind power generation,2004M11,37482
1.4 Thermal power generation,2004M11,74747
1.1 Hydro power generation,2004M12,11434374
1.2 Wind power generation,2004M12,53076
1.4 Thermal power generation,2004M12,96112
1.1 Hydro power generation,2005M01,13256254
1.2 Wind power generation,2005M01,45528
1.4 Thermal power generation,2005M01,104112
1.1 Hydro power generation,2005M02,13277845
1.2 Wind power generation,2005M02,35290
1.4 Thermal power generation,2005M02,73969
1.1 Hydro power generation,2005M03,13539812
1.2 Wind power generation,2005M03,24383
1.4 Thermal power generation,2005M03,85455
1.1 Hydro power generation,2005M04,10786894
1.2 Wind power generation,2005M04,29377
1.4 Thermal power generation,2005M04,65859
1.1 Hydro power generation,2005M05,9827689
1.2 Wind power generation,2005M05,30668
1.4 Thermal power generation,2005M05,86303
1.1 Hydro power generation,2005M06,9492169
1.2 Wind power generation,2005M06,39280
1.4 Thermal power generation,2005M06,82495
1.1 Hydro power generation,2005M07,9090615
1.2 Wind power generation,2005M07,22452
1.4 Thermal power generation,2005M07,78592
1.1 Hydro power generation,2005M08,9301139
1.2 Wind power generation,2005M08,42121
1.4 Thermal power generation,2005M08,74167
1.1 Hydro power generation,2005M09,9462646
1.2 Wind power generation,2005M09,65407
1.4 Thermal power generation,2005M09,78935
1.1 Hydro power generation,2005M10,11152823
1.2 Wind power generation,2005M10,50226
1.4 Thermal power generation,2005M10,97214
1.1 Hydro power generation,2005M11,12942343
1.2 Wind power generation,2005M11,59436
1.4 Thermal power generation,2005M11,100686
1.1 Hydro power generation,2005M12,14440518
1.2 Wind power generation,2005M12,62862
1.4 Thermal power generation,2005M12,102346
1.1 Hydro power generation,2006M01,14638255
1.2 Wind power generation,2006M01,76535
1.4 Thermal power generation,2006M01,103420
1.1 Hydro power generation,2006M02,13063644
1.2 Wind power generation,2006M02,47542
1.4 Thermal power generation,2006M02,98588
1.1 Hydro power generation,2006M03,13495826
1.2 Wind power generation,2006M03,40107
1.4 Thermal power generation,2006M03,91985
1.1 Hydro power generation,2006M04,9446228
1.2 Wind power generation,2006M04,42673
1.4 Thermal power generation,2006M04,95918
1.1 Hydro power generation,2006M05,7821440
1.2 Wind power generation,2006M05,40790
1.4 Thermal power generation,2006M05,80084
1.1 Hydro power generation,2006M06,8388455
1.2 Wind power generation,2006M06,44065
1.4 Thermal power generation,2006M06,98885
1.1 Hydro power generation,2006M07,7856659
1.2 Wind power generation,2006M07,38251
1.4 Thermal power generation,2006M07,105123
1.1 Hydro power generation,2006M08,8268969
1.2 Wind power generation,2006M08,24406
1.4 Thermal power generation,2006M08,103037
1.1 Hydro power generation,2006M09,7784117
1.2 Wind power generation,2006M09,47490
1.4 Thermal power generation,2006M09,89301
1.1 Hydro power generation,2006M10,8434123
1.2 Wind power generation,2006M10,63933
1.4 Thermal power generation,2006M10,85772
1.1 Hydro power generation,2006M11,10005439
1.2 Wind power generation,2006M11,89163
1.4 Thermal power generation,2006M11,115923
1.1 Hydro power generation,2006M12,10601465
1.2 Wind power generation,2006M12,118189
1.4 Thermal power generation,2006M12,117507
1.1 Hydro power generation,2007M01,12381771
1.2 Wind power generation,2007M01,86503
1.4 Thermal power generation,2007M01,107371
1.1 Hydro power generation,2007M02,12782437
1.2 Wind power generation,2007M02,61400
1.4 Thermal power generation,2007M02,103078
1.1 Hydro power generation,2007M03,11289100
1.2 Wind power generation,2007M03,87450
1.4 Thermal power generation,2007M03,109212
1.1 Hydro power generation,2007M04,10008806
1.2 Wind power generation,2007M04,95812
1.4 Thermal power generation,2007M04,102362
1.1 Hydro power generation,2007M05,10322725
1.2 Wind power generation,2007M05,59686
1.4 Thermal power generation,2007M05,73874
1.1 Hydro power generation,2007M06,9777408
1.2 Wind power generation,2007M06,45151
1.4 Thermal power generation,2007M06,85782
1.1 Hydro power generation,2007M07,10223632
1.2 Wind power generation,2007M07,45112
1.4 Thermal power generation,2007M07,109371
1.1 Hydro power generation,2007M08,11093546
1.2 Wind power generation,2007M08,47207
1.4 Thermal power generation,2007M08,97998
1.1 Hydro power generation,2007M09,11346769
1.2 Wind power generation,2007M09,90259
1.4 Thermal power generation,2007M09,172106
1.1 Hydro power generation,2007M10,11415115
1.2 Wind power generation,2007M10,91255
1.4 Thermal power generation,2007M10,151437
1.1 Hydro power generation,2007M11,12056842
1.2 Wind power generation,2007M11,96102
1.4 Thermal power generation,2007M11,178309
1.1 Hydro power generation,2007M12,12590469
1.2 Wind power generation,2007M12,94904
1.4 Thermal power generation,2007M12,228202
1.1 Hydro power generation,2008M01,13417638
1.2 Wind power generation,2008M01,93947
1.4 Thermal power generation,2008M01,133709
1.1 Hydro power generation,2008M02,12745900
1.2 Wind power generation,2008M02,105761
1.4 Thermal power generation,2008M02,98687
1.1 Hydro power generation,2008M03,13445436
1.2 Wind power generation,2008M03,76124
1.4 Thermal power generation,2008M03,110373
1.1 Hydro power generation,2008M04,11137187
1.2 Wind power generation,2008M04,53297
1.4 Thermal power generation,2008M04,109565
1.1 Hydro power generation,2008M05,10437667
1.2 Wind power generation,2008M05,44583
1.4 Thermal power generation,2008M05,99105
1.1 Hydro power generation,2008M06,10581569
1.2 Wind power generation,2008M06,47800
1.4 Thermal power generation,2008M06,107567
1.1 Hydro power generation,2008M07,10255988
1.2 Wind power generation,2008M07,49670
1.4 Thermal power generation,2008M07,103990
1.1 Hydro power generation,2008M08,10004402
1.2 Wind power generation,2008M08,39894
1.4 Thermal power generation,2008M08,100701
1.1 Hydro power generation,2008M09,10132009
1.2 Wind power generation,2008M09,60643
1.4 Thermal power generation,2008M09,100874
1.1 Hydro power generation,2008M10,11641715
1.2 Wind power generation,2008M10,122320
1.4 Thermal power generation,2008M10,95517
1.1 Hydro power generation,2008M11,12647546
1.2 Wind power generation,2008M11,115628
1.4 Thermal power generation,2008M11,90333
1.1 Hydro power generation,2008M12,14074843
1.2 Wind power generation,2008M12,107277
1.4 Thermal power generation,2008M12,77753
1.1 Hydro power generation,2009M01,13796276
1.2 Wind power generation,2009M01,128255
1.4 Thermal power generation,2009M01,225884
1.1 Hydro power generation,2009M02,12015959
1.2 Wind power generation,2009M02,71103
1.4 Thermal power generation,2009M02,202401
1.1 Hydro power generation,2009M03,11653000
1.2 Wind power generation,2009M03,115417
1.4 Thermal power generation,2009M03,501480
1.1 Hydro power generation,2009M04,9052480
1.2 Wind power generation,2009M04,71335
1.4 Thermal power generation,2009M04,449110
1.1 Hydro power generation,2009M05,8471635
1.2 Wind power generation,2009M05,70728
1.4 Thermal power generation,2009M05,496281
1.1 Hydro power generation,2009M06,7641988
1.2 Wind power generation,2009M06,43864
1.4 Thermal power generation,2009M06,414574
1.1 Hydro power generation,2009M07,7599770
1.2 Wind power generation,2009M07,54492
1.4 Thermal power generation,2009M07,521667
1.1 Hydro power generation,2009M08,9151292
1.2 Wind power generation,2009M08,53750
1.4 Thermal power generation,2009M08,332545
1.1 Hydro power generation,2009M09,10099918
1.2 Wind power generation,2009M09,133706
1.4 Thermal power generation,2009M09,331421
1.1 Hydro power generation,2009M10,12073913
1.2 Wind power generation,2009M10,63869
1.4 Thermal power generation,2009M10,394382
1.1 Hydro power generation,2009M11,11921648
1.2 Wind power generation,2009M11,89633
1.4 Thermal power generation,2009M11,409646
1.1 Hydro power generation,2009M12,13591998
1.2 Wind power generation,2009M12,84349
1.4 Thermal power generation,2009M12,461965
1.1 Hydro power generation,2010M01,14249365
1.2 Wind power generation,2010M01,93912
1.4 Thermal power generation,2010M01,481972
1.1 Hydro power generation,2010M02,12082668
1.2 Wind power generation,2010M02,65577
1.4 Thermal power generation,2010M02,476668
1.1 Hydro power generation,2010M03,10569953
1.2 Wind power generation,2010M03,83507
1.4 Thermal power generation,2010M03,575556
1.1 Hydro power generation,2010M04,8107465
1.2 Wind power generation,2010M04,65841
1.4 Thermal power generation,2010M04,534889
1.1 Hydro power generation,2010M05,7055820
1.2 Wind power generation,2010M05,43356
1.4 Thermal power generation,2010M05,500595
1.1 Hydro power generation,2010M06,6427624
1.2 Wind power generation,2010M06,58921
1.4 Thermal power generation,2010M06,530345
1.1 Hydro power generation,2010M07,7441873
1.2 Wind power generation,2010M07,63945
1.4 Thermal power generation,2010M07,566745
1.1 Hydro power generation,2010M08,7425687
1.2 Wind power generation,2010M08,55806
1.4 Thermal power generation,2010M08,402860
1.1 Hydro power generation,2010M09,8609302
1.2 Wind power generation,2010M09,51135
1.4 Thermal power generation,2010M09,228406
1.1 Hydro power generation,2010M10,10963316
1.2 Wind power generation,2010M10,119217
1.4 Thermal power generation,2010M10,266772
1.1 Hydro power generation,2010M11,11643542
1.2 Wind power generation,2010M11,91080
1.4 Thermal power generation,2010M11,446187
1.1 Hydro power generation,2010M12,13365401
1.2 Wind power generation,2010M12,102612
1.4 Thermal power generation,2010M12,599478
1.1 Hydro power generation,2011M01,10524386
1.2 Wind power generation,2011M01,139125
1.4 Thermal power generation,2011M01,607536
1.1 Hydro power generation,2011M02,9865867
1.2 Wind power generation,2011M02,105934
1.4 Thermal power generation,2011M02,579136
1.1 Hydro power generation,2011M03,9369715
1.2 Wind power generation,2011M03,151236
1.4 Thermal power generation,2011M03,630068
1.1 Hydro power generation,2011M04,7793373
1.2 Wind power generation,2011M04,109454
1.4 Thermal power generation,2011M04,530924
1.1 Hydro power generation,2011M05,8141646
1.2 Wind power generation,2011M05,71401
1.4 Thermal power generation,2011M05,429838
1.1 Hydro power generation,2011M06,9015881
1.2 Wind power generation,2011M06,62514
1.4 Thermal power generation,2011M06,278564
1.1 Hydro power generation,2011M07,10228637
1.2 Wind power generation,2011M07,61537
