energy_source,date,production_mwh
1.4 Thermal power generation,2011M07,251926
1.1 Hydro power generation,2011M08,10125321
1.2 Wind power generation,2011M08,57454
1.4 Thermal power generation,2011M08,312147
1.1 Hydro power generation,2011M09,10059072
1.2 Wind power generation,2011M09,109345
1.4 Thermal power generation,2011M09,260824
1.1 Hydro power generation,2011M10,11748703
1.2 Wind power generation,2011M10,153775
1.4 Thermal power generation,2011M10,274730
1.1 Hydro power generation,2011M11,12651390
1.2 Wind power generation,2011M11,127852
1.4 Thermal power generation,2011M11,310414
1.1 Hydro power generation,2011M12,12555351
1.2 Wind power generation,2011M12,143664
1.4 Thermal power generation,2011M12,305691
1.1 Hydro power generation,2012M01,15006054
1.2 Wind power generation,2012M01,140166
1.4 Thermal power generation,2012M01,281906
1.1 Hydro power generation,2012M02,13937887
1.2 Wind power generation,2012M02,171252
1.4 Thermal power generation,2012M02,321903
1.1 Hydro power generation,2012M03,12413809
1.2 Wind power generation,2012M03,182947
1.4 Thermal power generation,2012M03,283728
1.1 Hydro power generation,2012M04,11710654
1.2 Wind power generation,2012M04,84849
1.4 Thermal power generation,2012M04,285885
1.1 Hydro power generation,2012M05,10808425
1.2 Wind power generation,2012M05,102108
1.4 Thermal power generation,2012M05,250453
1.1 Hydro power generation,2012M06,10120319
1.2 Wind power generation,2012M06,71929
1.4 Thermal power generation,2012M06,265486
1.1 Hydro power generation,2012M07,10012282
1.2 Wind power generation,2012M07,86612
1.4 Thermal power generation,2012M07,210988
1.1 Hydro power generation,2012M08,10684799
1.2 Wind power generation,2012M08,74154
1.4 Thermal power generation,2012M08,307648
1.1 Hydro power generation,2012M09,10521127
1.2 Wind power generation,2012M09,138828
1.4 Thermal power generation,2012M09,244392
1.1 Hydro power generation,2012M10,11765389
1.2 Wind power generation,2012M10,139075
1.4 Thermal power generation,2012M10,306187
1.1 Hydro power generation,2012M11,11825234
1.2 Wind power generation,2012M11,176728
1.4 Thermal power generation,2012M11,292893
1.1 Hydro power generation,2012M12,14092365
1.2 Wind power generation,2012M12,187327
1.4 Thermal power generation,2012M12,339780
1.1 Hydro power generation,2013M01,14148246
1.2 Wind power generation,2013M01,146849
1.4 Thermal power generation,2013M01,310830
1.1 Hydro power generation,2013M02,12093357
1.2 Wind power generation,2013M02,139935
1.4 Thermal power generation,2013M02,191707
1.1 Hydro power generation,2013M03,11950284
1.2 Wind power generation,2013M03,170802
1.4 Thermal power generation,2013M03,186656
1.1 Hydro power generation,2013M04,9127947
1.2 Wind power generation,2013M04,140505
1.4 Thermal power generation,2013M04,207565
1.1 Hydro power generation,2013M05,9343219
1.2 Wind power generation,2013M05,136543
1.4 Thermal power generation,2013M05,310676
1.1 Hydro power generation,2013M06,9270084
1.2 Wind power generation,2013M06,94936
1.4 Thermal power generation,2013M06,270738
1.1 Hydro power generation,2013M07,9277607
1.2 Wind power generation,2013M07,136289
1.4 Thermal power generation,2013M07,325598
1.1 Hydro power generation,2013M08,9726483
1.2 Wind power generation,2013M08,122256
1.4 Thermal power generation,2013M08,290969
1.1 Hydro power generation,2013M09,9469056
1.2 Wind power generation,2013M09,114767
1.4 Thermal power generation,2013M09,302899
1.1 Hydro power generation,2013M10,10383643
1.2 Wind power generation,2013M10,182572
1.4 Thermal power generation,2013M10,310415
1.1 Hydro power generation,2013M11,11719841
1.2 Wind power generation,2013M11,209032
1.4 Thermal power generation,2013M11,300125
1.1 Hydro power generation,2013M12,12512431
1.2 Wind power generation,2013M12,299668
1.4 Thermal power generation,2013M12,315361
1.1 Hydro power generation,2014M01,14072018
1.2 Wind power generation,2014M01,257853
1.4 Thermal power generation,2014M01,313136
1.1 Hydro power generation,2014M02,11343284
1.2 Wind power generation,2014M02,245711
1.4 Thermal power generation,2014M02,275754
1.1 Hydro power generation,2014M03,11702699
1.2 Wind power generation,2014M03,234680
1.4 Thermal power generation,2014M03,321802
1.1 Hydro power generation,2014M04,11046960
1.2 Wind power generation,2014M04,179116
1.4 Thermal power generation,2014M04,315720
1.1 Hydro power generation,2014M05,11035551
1.2 Wind power generation,2014M05,117346
1.4 Thermal power generation,2014M05,170565
1.1 Hydro power generation,2014M06,10356319
1.2 Wind power generation,2014M06,107949
1.4 Thermal power generation,2014M06,255162
1.1 Hydro power generation,2014M07,9811824
1.2 Wind power generation,2014M07,76996
1.4 Thermal power generation,2014M07,319151
1.1 Hydro power generation,2014M08,9390051
1.2 Wind power generation,2014M08,111749
1.4 Thermal power generation,2014M08,313823
1.1 Hydro power generation,2014M09,10142671
1.2 Wind power generation,2014M09,148813
1.4 Thermal power generation,2014M09,260941
1.1 Hydro power generation,2014M10,11293424
1.2 Wind power generation,2014M10,249448
1.4 Thermal power generation,2014M10,326838
1.1 Hydro power generation,2014M11,12601738
1.2 Wind power generation,2014M11,226258
1.4 Thermal power generation,2014M11,295296
1.1 Hydro power generation,2014M12,13839214
1.2 Wind power generation,2014M12,260378
1.4 Thermal power generation,2014M12,306776
1.1 Hydro power generation,2015M01,14174194
1.2 Wind power generation,2015M01,300375
1.4 Thermal power generation,2015M01,293459
1.1 Hydro power generation,2015M02,12328923
1.2 Wind power generation,2015M02,260069
1.4 Thermal power generation,2015M02,282313
1.1 Hydro power generation,2015M03,12636833
1.2 Wind power generation,2015M03,240519
1.4 Thermal power generation,2015M03,298174
1.1 Hydro power generation,2015M04,10530859
1.2 Wind power generation,2015M04,208981
1.4 Thermal power generation,2015M04,273584
1.1 Hydro power generation,2015M05,10453959
1.2 Wind power generation,2015M05,172049
1.4 Thermal power generation,2015M05,302287
1.1 Hydro power generation,2015M06,10631017
1.2 Wind power generation,2015M06,169734
1.4 Thermal power generation,2015M06,289681
1.1 Hydro power generation,2015M07,9773733
1.2 Wind power generation,2015M07,120344
1.4 Thermal power generation,2015M07,298794
1.1 Hydro power generation,2015M08,10273233
1.2 Wind power generation,2015M08,158265
1.4 Thermal power generation,2015M08,297361
1.1 Hydro power generation,2015M09,10721754
1.2 Wind power generation,2015M09,174194
1.4 Thermal power generation,2015M09,269400
1.1 Hydro power generation,2015M10,11496478
1.2 Wind power generation,2015M10,213795
1.4 Thermal power generation,2015M10,303123
1.1 Hydro power generation,2015M11,12657293
1.2 Wind power generation,2015M11,203056
1.4 Thermal power generation,2015M11,267665
1.1 Hydro power generation,2015M12,13335506
1.2 Wind power generation,2015M12,294037
1.4 Thermal power generation,2015M12,315836
1.1 Hydro power generation,2016M01,15834861
1.2 Wind power generation,2016M01,232392
1.4 Thermal power generation,2016M01,309380
1.1 Hydro power generation,2016M02,13608131
1.2 Wind power generation,2016M02,188006
1.4 Thermal power generation,2016M02,291422
1.1 Hydro power generation,2016M03,13856537
1.2 Wind power generation,2016M03,212401
1.4 Thermal power generation,2016M03,304460
1.1 Hydro power generation,2016M04,11257556
1.2 Wind power generation,2016M04,149112
1.4 Thermal power generation,2016M04,299075
1.1 Hydro power generation,2016M05,10889267
1.2 Wind power generation,2016M05,125722
1.4 Thermal power generation,2016M05,294006
1.1 Hydro power generation,2016M06,10660561
1.2 Wind power generation,2016M06,118217
1.4 Thermal power generation,2016M06,250679
1.1 Hydro power generation,2016M07,9952279
1.2 Wind power generation,2016M07,104893
1.4 Thermal power generation,2016M07,295377
1.1 Hydro power generation,2016M08,9949918
1.2 Wind power generation,2016M08,129481
1.4 Thermal power generation,2016M08,307555
1.1 Hydro power generation,2016M09,10180388
1.2 Wind power generation,2016M09,157097
1.4 Thermal power generation,2016M09,216073
1.1 Hydro power generation,2016M10,11648805
1.2 Wind power generation,2016M10,173670
1.4 Thermal power generation,2016M10,257861
1.1 Hydro power generation,2016M11,12652249
1.2 Wind power generation,2016M11,232281
1.4 Thermal power generation,2016M11,282158
1.1 Hydro power generation,2016M12,13514754
1.2 Wind power generation,2016M12,292470
1.4 Thermal power generation,2016M12,302348
1.1 Hydro power generation,2017M01,14737330
1.2 Wind power generation,2017M01,275749
1.4 Thermal power generation,2017M01,298046
1.1 Hydro power generation,2017M02,12667724
1.2 Wind power generation,2017M02,206597
1.4 Thermal power generation,2017M02,281848
1.1 Hydro power generation,2017M03,12264196
1.2 Wind power generation,2017M03,251960
1.4 Thermal power generation,2017M03,295838
1.1 Hydro power generation,2017M04,11058537
1.2 Wind power generation,2017M04,187838
1.4 Thermal power generation,2017M04,291471
1.1 Hydro power generation,2017M05,10874085
1.2 Wind power generation,2017M05,141584
1.4 Thermal power generation,2017M05,221099
1.1 Hydro power generation,2017M06,10671504
1.2 Wind power generation,2017M06,148615
1.4 Thermal power generation,2017M06,247632
1.1 Hydro power generation,2017M07,10189374
1.2 Wind power generation,2017M07,122139
1.4 Thermal power generation,2017M07,312622
1.1 Hydro power generation,2017M08,10638498
1.2 Wind power generation,2017M08,176359
1.4 Thermal power generation,2017M08,296754
1.1 Hydro power generation,2017M09,10827917
1.2 Wind power generation,2017M09,258125
1.4 Thermal power generation,2017M09,272273
1.1 Hydro power generation,2017M10,11748096
1.2 Wind power generation,2017M10,373937
1.4 Thermal power generation,2017M10,307022
1.1 Hydro power generation,2017M11,13106785
1.2 Wind power generation,2017M11,346352
1.4 Thermal power generation,2017M11,289755
1.1 Hydro power generation,2017M12,14211921
1.2 Wind power generation,2017M12,360296
1.4 Thermal power generation,2017M12,293281
1.1 Hydro power generation,2018M01,14966904
1.2 Wind power generation,2018M01,366272
1.4 Thermal power generation,2018M01,295579
1.1 Hydro power generation,2018M02,14252555
1.2 Wind power generation,2018M02,276031
1.4 Thermal power generation,2018M02,267305
1.1 Hydro power generation,2018M03,13477906
1.2 Wind power generation,2018M03,303580
1.4 Thermal power generation,2018M03,294347
1.1 Hydro power generation,2018M04,10037426
1.2 Wind power generation,2018M04,225749
1.4 Thermal power generation,2018M04,283588
1.1 Hydro power generation,2018M05,9757635
1.2 Wind power generation,2018M05,222609
1.4 Thermal power generation,2018M05,277650
1.1 Hydro power generation,2018M06,9165049
1.2 Wind power generation,2018M06,242986
1.4 Thermal power generation,2018M06,273174
1.1 Hydro power generation,2018M07,8896670
1.2 Wind power generation,2018M07,163819
1.4 Thermal power generation,2018M07,303764
1.1 Hydro power generation,2018M08,10027285
1.2 Wind power generation,2018M08,211335
1.4 Thermal power generation,2018M08,305675
1.1 Hydro power generation,2018M09,10528726
1.2 Wind power generation,2018M09,379417
1.4 Thermal power generation,2018M09,289610
1.1 Hydro power generation,2018M10,12507962
1.2 Wind power generation,2018M10,496495
1.4 Thermal power generation,2018M10,276763
1.1 Hydro power generation,2018M11,12932163
1.2 Wind power generation,2018M11,447944
1.4 Thermal power generation,2018M11,285490
1.1 Hydro power generation,2018M12,12961540
1.2 Wind power generation,2018M12,539644
1.4 Thermal power generation,2018M12,304328
1.1 Hydro power generation,2019M01,13880701
1.2 Wind power generation,2019M01,555628
1.4 Thermal power generation,2019M01,270314
1.1 Hydro power generation,2019M02,10991055
1.2 Wind power generation,2019M02,488283
1.4 Thermal power generation,2019M02,265843
1.1 Hydro power generation,2019M03,10477292
1.2 Wind power generation,2019M03,527024
1.4 Thermal power generation,2019M03,300677
1.1 Hydro power generation,2019M04,9342332
1.2 Wind power generation,2019M04,355310
1.4 Thermal power generation,2019M04,297827
1.1 Hydro power generation,2019M05,9168288
1.2 Wind power generation,2019M05,358079
1.4 Thermal power generation,2019M05,283679
1.1 Hydro power generation,2019M06,8847070
1.2 Wind power generation,2019M06,352544
1.4 Thermal power generation,2019M06,269932
1.1 Hydro power generation,2019M07,9233706
1.2 Wind power generation,2019M07,290674
1.4 Thermal power generation,2019M07,266038
1.1 Hydro power generation,2019M08,9511438
1.2 Wind power generation,2019M08,325993
1.4 Thermal power generation,2019M08,264367
1.1 Hydro power generation,2019M09,10178611
1.2 Wind power generation,2019M09,518356
1.4 Thermal power generation,2019M09,252308
1.1 Hydro power generation,2019M10,10800207
1.2 Wind power generation,2019M10,454638
1.4 Thermal power generation,2019M10,270870
1.1 Hydro power generation,2019M11,12075504
1.2 Wind power generation,2019M11,518954
1.4 Thermal power generation,2019M11,272601
1.1 Hydro power generation,2019M12,11289732
1.2 Wind power generation,2019M12,790768
1.4 Thermal power generation,2019M12,287987
1.1 Hydro power generation,2020M01,12018612
1.2 Wind power generation,2020M01,1024285
1.3 Solar power generation,2020M01,178
1.4 Thermal power generation,2020M01,293352
1.1 Hydro power generation,2020M02,11806306
1.2 Wind power generation,2020M02,853722
1.3 Solar power generation,2020M02,376
1.4 Thermal power generation,2020M02,273249
1.1 Hydro power generation,2020M03,13010776
1.2 Wind power generation,2020M03,942781
1.3 Solar power generation,2020M03,1169
1.4 Thermal power generation,2020M03,281702
1.1 Hydro power generation,2020M04,11616762
1.2 Wind power generation,2020M04,686210
1.3 Solar power generation,2020M04,2905
1.4 Thermal power generation,2020M04,282776
1.1 Hydro power generation,2020M05,11282754
1.2 Wind power generation,2020M05,600285
1.3 Solar power generation,2020M05,4446
1.4 Thermal power generation,2020M05,220423
1.1 Hydro power generation,2020M06,9996063
1.2 Wind power generation,2020M06,372085
1.3 Solar power generation,2020M06,5066
1.4 Thermal power generation,2020M06,198851
1.1 Hydro power generation,2020M07,10451675
1.2 Wind power generation,2020M07,506181
1.3 Solar power generation,2020M07,4525
1.4 Thermal power generation,2020M07,284744
1.1 Hydro power generation,2020M08,10838474
1.2 Wind power generation,2020M08,445913
1.3 Solar power generation,2020M08,4259
1.4 Thermal power generation,2020M08,278584
1.1 Hydro power generation,2020M09,10993018
1.2 Wind power generation,2020M09,858422
1.3 Solar power generation,2020M09,2135
1.4 Thermal power generation,2020M09,194856
1.1 Hydro power generation,2020M10,12907317
1.2 Wind power generation,2020M10,922942
1.3 Solar power generation,2020M10,725
1.4 Thermal power generation,2020M10,82236
1.1 Hydro power generation,2020M11,11950535
1.2 Wind power generation,2020M11,1338367
1.3 Solar power generation,2020M11,239
1.4 Thermal power generation,2020M11,142150
1.1 Hydro power generation,2020M12,14720967
1.2 Wind power generation,2020M12,1359399
1.3 Solar power generation,2020M12,95
1.4 Thermal power generation,2020M12,138338
1.1 Hydro power generation,2021M01,16448465
1.2 Wind power generation,2021M01,872583
1.3 Solar power generation,2021M01,98
1.4 Thermal power generation,2021M01,130753
1.1 Hydro power generation,2021M02,13172264
1.2 Wind power generation,2021M02,1120002
1.3 Solar power generation,2021M02,314
1.4 Thermal power generation,2021M02,119001
1.1 Hydro power generation,2021M03,12382899
1.2 Wind power generation,2021M03,1271373
1.3 Solar power generation,2021M03,1564
1.4 Thermal power generation,2021M03,133879
1.1 Hydro power generation,2021M04,11375507
1.2 Wind power generation,2021M04,916171
1.3 Solar power generation,2021M04,4313
1.4 Thermal power generation,2021M04,131166
1.1 Hydro power generation,2021M05,11396142
1.2 Wind power generation,2021M05,532029
1.3 Solar power generation,2021M05,4696
1.4 Thermal power generation,2021M05,147019
1.1 Hydro power generation,2021M06,10671115
1.2 Wind power generation,2021M06,613563
1.3 Solar power generation,2021M06,6359
1.4 Thermal power generation,2021M06,135431
1.1 Hydro power generation,2021M07,10211586
1.2 Wind power generation,2021M07,691798
1.3 Solar power generation,2021M07,6977
1.4 Thermal power generation,2021M07,140480
1.1 Hydro power generation,2021M08,9657246
1.2 Wind power generation,2021M08,600008
1.3 Solar power generation,2021M08,5619
1.4 Thermal power generation,2021M08,135728
1.1 Hydro power generation,2021M09,10126089
1.2 Wind power generation,2021M09,980993
1.3 Solar power generation,2021M09,2538
1.4 Thermal power generation,2021M09,125232
1.1 Hydro power generation,2021M10,10743083
1.2 Wind power generation,2021M10,1478937
1.3 Solar power generation,2021M10,973
1.4 Thermal power generation,2021M10,136488
1.1 Hydro power generation,2021M11,13011644
1.2 Wind power generation,2021M11,1265702
1.3 Solar power generation,2021M11,269
1.4 Thermal power generation,2021M11,142441
1.1 Hydro power generation,2021M12,14473978
1.2 Wind power generation,2021M12,1423877
1.3 Solar power generation,2021M12,92
1.4 Thermal power generation,2021M12,144290
1.1 Hydro power generation,2022M01,13174587
1.2 Wind power generation,2022M01,1753373
1.3 Solar power generation,2022M01,199
1.4 Thermal power generation,2022M01,151066
1.1 Hydro power generation,2022M02,11278236
1.2 Wind power generation,2022M02,1541512
1.3 Solar power generation,2022M02,605
1.4 Thermal power generation,2022M02,129053
1.1 Hydro power generation,2022M03,13058651
1.2 Wind power generation,2022M03,1395390
1.3 Solar power generation,2022M03,3511
1.4 Thermal power generation,2022M03,157147
1.1 Hydro power generation,2022M04,10135314
1.2 Wind power generation,2022M04,854480
1.3 Solar power generation,2022M04,7112
1.4 Thermal power generation,2022M04,143943
1.1 Hydro power generation,2022M05,9492477
1.2 Wind power generation,2022M05,1147859
1.3 Solar power generation,2022M05,8736
1.4 Thermal power generation,2022M05,134745
1.1 Hydro power generation,2022M06,10543848
1.2 Wind power generation,2022M06,704568
1.3 Solar power generation,2022M06,10984
1.4 Thermal power generation,2022M06,220325
1.1 Hydro power generation,2022M07,9421451
1.2 Wind power generation,2022M07,954140
1.3 Solar power generation,2022M07,11506
1.4 Thermal power generation,2022M07,276802
1.1 Hydro power generation,2022M08,9357103
1.2 Wind power generation,2022M08,843935
1.3 Solar power generation,2022M08,10377
1.4 Thermal power generation,2022M08,251089
1.1 Hydro power generation,2022M09,7352290
1.2 Wind power generation,2022M09,1009659
1.3 Solar power generation,2022M09,6466
1.4 Thermal power generation,2022M09,210572
1.1 Hydro power generation,2022M10,9369387
1.2 Wind power generation,2022M10,1428555
1.3 Solar power generation,2022M10,2611
1.4 Thermal power generation,2022M10,217974
1.1 Hydro power generation,2022M11,12364093
1.2 Wind power generation,2022M11,1743477
1.3 Solar power generation,2022M11,473
1.4 Thermal power generation,2022M11,213378
1.1 Hydro power generation,2022M12,13189657
1.2 Wind power generation,2022M12,1432648
1.3 Solar power generation,2022M12,158
1.4 Thermal power generation,2022M12,227556
1.1 Hydro power generation,2023M01,12247275
1.2 Wind power generation,2023M01,1661816
1.3 Solar power generation,2023M01,310
1.4 Thermal power generation,2023M01,230094
1.1 Hydro power generation,2023M02,12043602
1.2 Wind power generation,2023M02,1522049
1.3 Solar power generation,2023M02,1964
1.4 Thermal power generation,2023M02,213649
1.1 Hydro power generation,2023M03,12830945
1.2 Wind power generation,2023M03,1251268
1.3 Solar power generation,2023M03,5574
1.4 Thermal power generation,2023M03,212150
1.1 Hydro power generation,2023M04,10648862
1.2 Wind power generation,2023M04,1120309
1.3 Solar power generation,2023M04,16044
1.4 Thermal power generation,2023M04,218192
1.1 Hydro power generation,2023M05,9830063
1.2 Wind power generation,2023M05,1138029
1.3 Solar power generation,2023M05,27559
1.4 Thermal power generation,2023M05,127065
1.1 Hydro power generation,2023M06,10444315
1.2 Wind power generation,2023M06,679239
1.3 Solar power generation,2023M06,35880
1.4 Thermal power generation,2023M06,173781
1.1 Hydro power generation,2023M07,10596552
1.2 Wind power generation,2023M07,619621
1.3 Solar power generation,2023M07,29865
1.4 Thermal power generation,2023M07,234205
1.1 Hydro power generation,2023M08,11225697
1.2 Wind power generation,2023M08,727923
1.3 Solar power generation,2023M08,21022
1.4 Thermal power generation,2023M08,224064
1.1 Hydro power generation,2023M09,10707186
1.2 Wind power generation,2023M09,1065550
1.3 Solar power generation,2023M09,15365
1.4 Thermal power generation,2023M09,215787
1.1 Hydro power generation,2023M10,11775274
1.2 Wind power generation,2023M10,1362285
1.3 Solar power generation,2023M10,7091
1.4 Thermal power generation,2023M10,219885
1.1 Hydro power generation,2023M11,12716210
1.2 Wind power generation,2023M11,1334437
1.3 Solar power generation,2023M11,868
1.4 Thermal power generation,2023M11,231929
1.1 Hydro power generation,2023M12,12261710
1.2 Wind power generation,2023M12,1482320
1.3 Solar power generation,2023M12,288
1.4 Thermal power generation,2023M12,220332
1.1 Hydro power generation,2024M01,13718032
1.2 Wind power generation,2024M01,1701875
1.3 Solar power generation,2024M01,488
1.4 Thermal power generation,2024M01,208722
1.1 Hydro power generation,2024M02,12575597
1.2 Wind power generation,2024M02,1514868
1.3 Solar power generation,2024M02,1830
1.4 Thermal power generation,2024M02,201087
1.1 Hydro power generation,2024M03,12941225
1.2 Wind power generation,2024M03,1315739
1.3 Solar power generation,2024M03,8617
1.4 Thermal power generation,2024M03,219873
1.1 Hydro power generation,2024M04,11129878
1.2 Wind power generation,2024M04,1136168
1.3 Solar power generation,2024M04,26683
1.4 Thermal power generation,2024M04,172929
1.1 Hydro power generation,2024M05,10741020
1.2 Wind power generation,2024M05,751269
1.3 Solar power generation,2024M05,51102
1.4 Thermal power generation,2024M05,209235
1.1 Hydro power generation,2024M06,10124506
1.2 Wind power generation,2024M06,922613
1.3 Solar power generation,2024M06,48956
1.4 Thermal power generation,2024M06,186057
1.1 Hydro power generation,2024M07,10194309
1.2 Wind power generation,2024M07,638265
1.3 Solar power generation,2024M07,44354
1.4 Thermal power generation,2024M07,217855
1.1 Hydro power generation,2024M08,9746939
1.2 Wind power generation,2024M08,1132401
1.3 Solar power generation,2024M08,34299
1.4 Thermal power generation,2024M08,190413
1.1 Hydro power generation,2024M09,10418989
1.2 Wind power generation,2024M09,943743
1.3 Solar power generation,2024M09,23573
1.4 Thermal power generation,2024M09,192214
1.1 Hydro power generation,2024M10,11283463
1.2 Wind power generation,2024M10,1383865
1.3 Solar power generation,2024M10,7779
1.4 Thermal power generation,2024M10,203105
1.1 Hydro power generation,2024M11,13217189
1.2 Wind power generation,2024M11,1343629
1.3 Solar power generation,2024M11,2106
1.4 Thermal power generation,2024M11,180328
1.1 Hydro power generation,2024M12,13923035
1.2 Wind power generation,2024M12,1760253
1.3 Solar power generation,2024M12,715
1.4 Thermal power generation,2024M12,162490
1.1 Hydro power generation,2025M01,15778874
1.2 Wind power generation,2025M01,1414521
1.3 Solar power generation,2025M01,762
1.4 Thermal power generation,2025M01,173579
1.1 Hydro power generation,2025M02,14496090
1.2 Wind power generation,2025M02,1233167
1.3 Solar power generation,2025M02,4724
1.4 Thermal power generation,2025M02,170069
1.1 Hydro power generation,2025M03,13399395
1.2 Wind power generation,2025M03,1435432
1.3 Solar power generation,2025M03,20108
1.4 Thermal power generation,2025M03,191123
1.1 Hydro power generation,2025M04,11809036
1.2 Wind power generation,2025M04,993999
1.3 Solar power generation,2025M04,41622
1.4 Thermal power generation,2025M04,163937
1.1 Hydro power generation,2025M05,10462259
1.2 Wind power generation,2025M05,975169
1.3 Solar power generation,2025M05,66169
1.4 Thermal power generation,2025M05,95735
1.1 Hydro power generation,2025M06,9770412
1.2 Wind power generation,2025M06,857568
1.3 Solar power generation,2025M06,61591
1.4 Thermal power generation,2025M06,100625
1.1 Hydro power generation,2025M07,10809205
1.2 Wind power generation,2025M07,452295
1.3 Solar power generation,2025M07,66310
1.4 Thermal power generation,2025M07,135979
1.1 Hydro power generation,2025M08,9943766
1.2 Wind power generation,2025M08,1026692
1.3 Solar power generation,2025M08,48133
1.4 Thermal power generation,2025M08,207696
1.1 Hydro power generation,2025M09,10217482
1.2 Wind power generation,2025M09,1110104
1.3 Solar power generation,2025M09,24242
1.4 Thermal power generation,2025M09,197237
1.1 Hydro power generation,2025M10,11531859
1.2 Wind power generation,2025M10,1474789
1.3 Solar power generation,2025M10,9087
1.4 Thermal power generation,2025M10,189490
1.1 Hydro power generation,2025M11,13392061
1.2 Wind power generation,2025M11,1234998
1.3 Solar power generation,2025M11,2161
1.4 Thermal power generation,2025M11,221346
1.1 Hydro power generation,2025M12,13863750
1.2 Wind power generation,2025M12,1690575
1.3 Solar power generation,2025M12,998
1.4 Thermal power generation,2025M12,226871
1.1 Hydro power generation,2026M01,16002328
1.2 Wind power generation,2026M01,1584742
1.3 Solar power generation,2026M01,868
1.4 Thermal power generation,2026M01,194636
